date,AAPL,MSFT,GOOGL,AMZN,TSLA
2024-01-02,185.64,374.69,140.93,151.94,248.42
2024-01-03,184.25,373.31,139.63,149.93,238.45
2024-01-04,181.91,369.04,137.98,147.44,237.93
2024-01-05,181.18,367.75,137.12,144.57,237.49
2024-01-08,185.56,374.49,139.69,149.13,240.45
2024-01-09,185.14,373.25,141.80,150.94,234.96
2024-01-10,186.19,376.04,142.65,152.35,233.94
2024-01-11,185.59,374.51,143.00,155.18,218.89
2024-01-12,185.92,376.39,141.80,155.37,218.89
2024-01-16,183.63,372.64,144.30,152.80,219.91
2024-01-17,182.68,373.69,143.10,152.42,215.55
2024-01-18,188.63,388.47,146.75,153.89,211.88
2024-01-19,191.56,392.02,149.97,155.87,212.19
2024-01-22,193.89,398.90,152.61,156.37,208.80
2024-01-23,195.18,397.58,150.86,156.03,209.14
2024-01-24,194.50,398.90,153.07,156.90,207.83
2024-01-25,194.17,404.87,155.72,159.28,182.63
2024-01-26,192.42,403.93,153.79,160.39,183.25
2024-01-29,191.73,406.32,155.15,159.28,190.93
2024-01-30,188.04,397.70,150.67,159.47,191.59
